order_gk,offer_id
3000554071973,300050650559
3000589955870,300051299312
3000553445532,300050625619
3000594172186,300051464495
3000594971425,300051512708
3000589356237,300051269251
3000592397290,300051374387
3000592796821,300051386790
3000617577588,300051729122
3000595895718,300051551434
3000599286434,300051653620
3000598612491,300051618697
3000598586335,300051615581
3000598660931,300051621112
3000599311424,300051655716
3000553045877,300050616546
3000593046361,300051402720
3000555545996,300050716874
3000595570878,300051536120
3000622440919,300051773115
3000628431908,300052137916
3000628658013,300052168078
3000632195716,300052363992
3000632821988,300052400464
3000595146432,300051525195
3000591331183,300051350798
3000627930999,300052112383
3000595097716,300051523606
3000594020788,300051449426
3000577501926,300050831713
3000583765883,300051028747
3000584015597,300051037832
3000583471321,300051004695
3000584117121,300051044348
3000584442300,300051068338
3000591381041,300051351920
3000579375883,300050925255
3000583767071,300051029609
3000623467476,300051845693
3000595097152,300051522817
3000622819907,300051794944
3000632946301,300052412276
3000555220698,300050707806
3000627807339,300052103800
3000627306058,300052063899
3000627406581,300052080879
3000631257409,300052340952
3000589105671,300051249639
3000590255975,300051315553
3000625018193,300051967585
3000594721080,300051491146
3000588181637,300051206717
3000592821750,300051389488
3000588831772,300051242695
3000555647007,300050722776
3000625067227,300051970674
3000627357407,300052074466
3000557763075,300050778380
3000582966722,300050979420
3000588156466,300051203889
3000579875741,300050940626
3000584865918,300051087581
3000623465625,300051843235
3000627781633,300052097726
3000630030867,300052279723
3000630631131,300052305825
3000627556427,300052093225
3000588680973,300051229643
3000622491347,300051775617
3000623491885,300051848693
3000594997029,300051515722
3000595646294,300051540570
3000590731729,300051332672
3000592771443,300051383124
3000592145881,300051359377
3000591181181,300051345686
3000631156560,300052331882
3000630380742,300052291272
3000622817146,300051791227
3000622793227,300051787356
3000627431425,300052082862
3000578001140,300050852177
3000587782529,300051180236
3000625792936,300052006096
3000617450865,300051716880
3000631106667,300052327766
3000629281529,300052219558
3000630531416,300052299789
3000625817984,300052008644
3000628781203,300052183075
3000554447183,300050673673
3000555596681,300050719791
3000585290564,300051110743
3000552295975,300050596137
3000582266098,300050958035
3000585166275,300051108462
3000587157059,300051157628
3000583470581,300051003471
3000595622380,300051540022
3000617700483,300051731842
3000578677051,300050895357
3000583466879,300051000219
3000593022502,300051401328
3000585266151,300051110574
3000617527132,300051722361
3000589432866,300051275150
3000591356133,300051351380
3000595772374,300051548782
3000579325894,300050922720
3000583492003,300051007343
3000592472652,300051377433
3000593596311,300051428267
3000617150678,300051701491
3000594196228,300051465148
3000617502926,300051721139
3000617452229,300051718222
3000617527132,300051722339
3000599211619,300051649906
3000584892041,300051090213
3000578475722,300050879284
3000588456118,300051213782
3000553796565,300050645020
3000558112052,300050800382
3000587832211,300051185165
3000595796387,300051549552
3000617276365,300051706666
3000617551986,300051725828
3000588807805,300051241273
3000589108504,300051253204
3000617301738,300051708470
3000625142424,300051975883
3000622367382,300051769396
3000627132557,300052037438
3000632973221,300052417438
3000625716851,300052000459
3000622792607,300051786466
3000625666565,300051996265
3000622116230,300051751066
3000589781086,300051288982
3000594997060,300051515753
3000589331299,300051266003
3000592720679,300051381141
3000590607152,300051326368
3000597761060,300051583048
3000583591025,300051015430
3000585615841,300051120273
3000599236396,300051650844
3000594095733,300051454328
3000589931274,300051297925
3000588031862,300051195982
3000589282398,300051262834
3000592170658,300051361778
3000595420893,300051529754
3000589731429,300051284011
3000594347616,300051478519
3000554496462,300050676197
3000594971251,300051512489
3000557261076,300050761532
3000591155965,300051344399
3000617376786,300051712113
3000627133468,300052039237
3000628581145,300052152163
3000622342141,300051767499
3000632496837,300052386638
3000625692428,300051999572
3000555021889,300050699676
3000624768724,300051932342
3000629456905,300052237859
3000629856294,300052259479
3000624140775,300051888140
3000624817344,300051939257
3000625018321,300051967735
3000624491387,300051919124
3000624467950,300051918041
3000624866749,300051946440
3000623043544,300051821602
3000623692428,300051863339
